,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
192,21.0,13.0,0.0,48.0,191.34,22.0,106011.43859649124,101825.0,17.0,13.0,0.0,33.0,202.658,17.0,101837.61818181818,95635.0,21.0,15.0,0.0,49.0,184.34099999999998,21.0,111808.16666666669,108249.0,0.0
193,17.0,14.0,0.0,52.0,195.484,17.0,106062.2105263158,99666.0,21.0,16.0,0.0,30.0,201.451,22.0,104033.41379310343,97332.0,16.0,21.0,0.0,6.0,179.888,17.0,115515.28571428572,110929.0,2.0
194,18.0,15.0,0.0,17.0,192.43400000000003,19.0,106502.50877192985,101246.0,14.0,21.0,0.0,23.946255372451965,207.13322176402988,15.0,108612.7324842026,92353.89903594769,20.0,13.0,0.0,53.0,185.19,20.0,110868.14545454546,107753.0,0.0
195,19.0,16.0,0.0,44.0,190.68400000000003,20.0,108206.51785714287,102175.0,18.0,14.0,0.0,55.0,199.62099999999998,18.0,115760.02040816328,95281.0,19.0,20.0,0.0,4.0,179.01,19.0,128704.0,111473.0,2.0
196,6.0,17.0,0.0,37.0,195.683,7.0,106506.96363636364,99565.0,10.0,3.0,15.0,39.0,205.46,11.0,98398.8947368421,93186.0,10.0,6.0,8.0,47.0,188.183,10.0,109101.16071428572,106039.0,126.0
197,8.0,18.0,0.0,40.0,194.62099999999998,9.0,103879.35,100108.0,4.0,2.0,18.0,49.0,205.13099999999997,4.0,98341.87719298246,92917.0,8.0,9.0,2.0,44.0,189.372,8.0,109606.63636363637,105373.0,55.0
198,15.0,19.0,0.0,32.0,193.481,15.0,104071.79487179489,100698.0,20.0,12.0,0.0,41.0,201.882,19.0,99874.21428571428,94202.0,12.0,17.0,0.0,27.0,185.14,12.0,111369.62857142858,107782.0,0.0
199,20.0,20.0,0.0,28.0,192.64700000000002,21.0,105419.57575757576,101134.0,19.0,17.0,0.0,17.0,196.141,20.0,105014.29629629626,97064.0,22.0,14.0,0.0,40.0,185.62599999999998,22.0,111805.75925925926,107500.0,0.0
200,14.0,21.0,0.0,16.0,191.669,14.0,109378.61111111114,101650.0,6.0,8.0,4.0,56.0,203.763,6.0,98932.47368421053,93864.0,9.0,19.0,0.0,4.0,183.86900000000003,9.0,116105.83333333331,108527.0,0.0
201,22.0,22.0,0.0,9.0,191.403,18.0,116078.82352941176,101791.0,13.0,11.0,0.0,34.0,204.472,14.0,99765.21428571428,94564.0,17.0,18.0,0.0,27.0,184.69799999999998,18.0,111436.59375,108040.0,0.0
