,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
101,14,9,2,44,200.572,14,101768.10714285713,99489,18,13,0,28,189.026,18,123531.67346938775,119964,17,11,0,49,212.798,17,98066.06896551725,89713,5
102,5,10,1,51,201.311,5,101818.05357142855,99124,13,14,0,34,186.789,13,125807.85416666669,121401,15,22,0,,,15,,,142
110,13,11,0,54,204.433,13,101916.96428571428,97610,15,16,0,41,188.844,15,123725.78260869565,120080,12,21,0,,,12,,,
111,7,12,0,46,200.695,7,103096.49090909088,99428,11,10,1,47,189.233,11,122916.02040816328,119833,8,8,4,58,213.998,8,97880.46551724136,89210,47
112,19,13,0,41,205.23,19,101208.16666666669,97231,3,1,25,45,191.706,3,121640.73469387756,118287,3,4,12,47,212.812,3,97117.84482758619,89707,252
113,24,14,0,28,193.315,24,107612.88679245283,103224,22,23,0,2,175.295,22,134237.5,129361,24,16,0,17,197.613,22,150429.1923076923,96607,0
114,22,15,0,40,190.426,22,107947.75471698113,104790,24,24,0,,,24,154479,154479,22,14,0,48,200.86,24,106003.28301886794,95045,0
115,23,16,0,39,189.443,23,108807.30769230767,105334,23,19,0,14,175.613,23,134572.41176470587,129127,21,20,0,4,129.626,23,152461.75,141240,0
116,18,17,0,31,192.329,18,110894.9411764706,103753,20,17,0,34,184.465,20,129372.6304347826,122930,20,24,0,,,20,,,0
117,15,18,0,44,194.299,15,123228.15909090909,102701,21,15,0,47,184.81,21,127214.7659574468,122701,19,13,0,52,203.878,19,101591.76785714287,93638,0
118,11,19,0,32,198.174,11,103573.71875,100693,17,21,0,7,182.422,17,125841.76923076926,124307,18,19,0,6,185.11,18,128421.22222222225,103132,27
119,10,20,0,9,194.502,10,116676.58333333331,102594,12,9,2,39,189.118,12,122722.5306122449,119906,13,7,6,55,212.865,13,97868.58620689657,89685,21
120,8,21,0,9,195.474,8,103576.22222222225,102084,7,6,8,45,188.649,7,122542.02040816328,120204,7,10,1,58,214.058,7,98033.13793103448,89185,72
121,9,22,0,6,193.098,9,104954.125,103340,16,22,0,4,181.347,16,126358.54545454546,125044,16,23,0,,,16,,,32
122,16,23,0,2,187.566,16,112405.5,106388,19,20,0,11,178.467,19,130232.9375,127062,23,15,0,37,202.597,21,104031.19512195123,94230,0
123,12,24,0,,,12,,,14,18,0,27,186.406,14,125113.85714285714,121650,14,12,0,54,210.745,14,98114.05172413793,90587,6
124,3,1,25,,,3,103896.89285714287,100415,2,2,18,41,211.382,2,92975.10344827586,90314,2,8,4,54,196.575,2,105531.94642857145,101512,227
125,1,2,18,,,1,103989.71428571428,101321,1,1,25,44,212.488,1,92590.6724137931,89844,1,1,25,33,196.523,1,104639.85714285713,101539,392
126,18,3,15,,,18,104031.80357142855,98993,3,5,10,50,213.066,3,93248.79310344828,89600,3,4,12,46,198.415,3,105111,100571,258
127,2,4,12,,,2,104075.46428571428,100623,4,6,8,49,212.396,4,93526.94827586207,89883,4,2,18,50,197.057,4,104698.08928571428,101264,270
128,4,5,10,,,4,104137.03571428572,101166,7,17,0,21,204.173,7,96448.90909090909,93503,9,12,0,45,196.062,9,106650.36363636363,101778,89
129,6,6,8,,,6,104179.75,101678,8,7,6,55,214.631,8,94059.39655172414,88947,7,5,10,41,195.637,7,105299.82142857145,101999,118
130,5,7,6,,,5,104443.71428571428,102070,5,4,12,49,213.336,5,93138.46551724136,89487,5,6,8,49,198.127,5,105305,100717,257
131,14,8,4,,,14,104450.92857142855,101215,11,19,0,13,200.283,11,101762.47368421053,95319,11,9,2,45,194.698,11,106155.85714285713,102491,76
132,10,9,2,,,10,104921.96428571428,101261,6,3,15,55,211.969,6,93117.56896551725,90064,8,17,0,49,197.466,8,105781.67307692306,101054,37
133,13,10,1,,,13,105026.76785714287,102577,9,21,0,51,211.218,9,93916.05172413793,90384,10,7,6,39,195.453,10,105826.26785714287,102095,30
134,8,11,0,,,8,105124.69642857145,102614,14,10,1,40,207.641,14,95153.7894736842,91941,14,10,1,48,193.956,14,106274.91071428572,102883,27
135,16,12,0,,,16,105195.80357142855,102406,18,12,0,43,206.661,18,95507.0350877193,92377,6,3,15,47,196.508,6,105087.625,101547,34
136,15,13,0,,,15,105507.41071428572,102031,17,16,0,47,208.861,17,96734.5,91404,15,22,0,10,189.116,15,113979.5,105516,4
137,9,14,0,,,9,105516.01785714287,101696,10,8,4,44,210.167,10,94363.24561403508,90836,12,13,0,36,194.379,12,107158.56363636363,102659,
138,11,15,0,,,11,105799.2,101157,16,9,2,55,208.583,16,94645.50877192985,91526,17,11,0,34,193.786,17,106450.19642857145,102973,42
139,19,16,0,,,19,106036.8,102672,19,18,0,19,201.129,19,98761,94918,19,15,0,43,192.47,19,107336.7818181818,103677,0
140,12,17,0,,,12,106098.8,101643,13,22,0,39,212.209,13,93725.93103448275,89962,16,21,0,19,193.177,16,108356.39130434784,103298,14
141,17,18,0,,,17,106188.41818181818,101702,15,20,0,7,202.873,15,97992.88888888886,94102,18,24,0,5,188.806,18,110773.125,105689,1
142,20,19,0,,,20,106439.52727272727,102052,20,13,0,52,206.275,20,97384.57142857145,92550,20,20,0,23,189.54,20,109031.29032258065,105280,0
143,21,20,0,,,21,108224.35185185184,104806,22,14,0,44,201.969,22,99528.11111111114,94523,22,19,0,41,189.421,22,109482.64285714287,105346,
144,22,21,0,,,22,108784.37037037036,104381,21,15,0,48,199.3,21,111482.38775510203,95789,21,16,0,50,189.401,21,108747.42592592591,105357,0
145,23,22,0,,,23,109113.64814814816,103384,0,23,0,,,23,,,23,18,0,42,187.332,23,112339.84782608696,106521,0
146,24,23,0,,,24,109135.35185185184,106081,0,24,0,,,24,,,24,23,0,5,182.427,24,112038.78571428572,109385,0
147,7,24,0,,,7,107747.11111111114,105700,12,11,0,41,211.025,12,95244.26315789473,90467,13,14,0,37,192.346,13,107329.23636363637,103744,26
148,1,1,25,40,194.356,1,103338.01785714287,100967,7,12,0,53,209.948,7,98400.12068965516,90931,7,13,0,51,195.898,8,178042.94642857142,101863,93
156,5,2,18,56,195.411,6,103706.33928571428,100422,2,1,25,56,214.053,2,97406.29310344828,89187,2,14,0,50,195.443,2,178063.05357142858,102100,188
157,7,3,15,40,195.201,2,103802.51785714287,100530,1,3,15,57,213.214,1,97476.55172413793,89538,1,3,15,50,196.523,1,176900.05357142858,101539,190
158,6,4,12,52,195.279,7,103836.66071428572,100490,5,4,12,57,213.452,5,97484.68965517242,89438,4,4,12,52,197.539,4,176955.3571428571,101017,179
159,11,5,10,33,195.063,11,103882.35714285713,100601,6,2,18,57,213.503,6,97443.1724137931,89417,5,11,0,50,196.905,6,177988.19642857142,101342,281
160,10,6,8,35,194.062,10,103900.35714285713,101120,3,21,0,,,3,103730,103730,6,24,0,2,155.333,7,133715.33333333337,128464,96
161,14,7,6,37,193.731,14,103955.82142857145,101293,14,16,0,49,210.123,14,100556.30769230767,90855,13,6,8,55,196.785,13,177312.125,101404,31
162,13,8,4,36,195.294,13,103974.5,100482,8,13,0,53,211.523,8,97857.17543859649,90254,11,19,0,51,195.181,11,180490.72222222228,102237,45
163,9,9,2,41,194.001,9,104003.30357142855,101152,12,5,10,52,211.469,12,97778.10344827586,90277,8,1,25,53,196.25,9,176639.5,101680,278
164,3,10,1,40,196.314,4,104029.44642857145,99960,13,6,8,55,210.668,13,98040.18965517242,90620,17,23,0,44,191.501,17,194763.5652173913,104202,60
165,8,11,0,37,194.156,8,104071.33928571428,101071,22,8,4,46,210.151,17,98086.60344827586,90843,9,2,18,54,197.531,10,176679.9107142857,101021,66
166,15,12,0,40,193.339,15,104092.89285714287,101498,15,10,1,57,210.703,15,98091.41379310343,90605,14,7,6,55,195.983,14,177432.57142857142,101819,46
167,12,13,0,48,193.832,12,104101.92857142855,101240,16,17,0,46,207.644,16,99756.32608695653,91940,12,15,0,56,195.537,12,178377.3392857143,102051,122
168,4,14,0,43,192.777,5,104241.10714285713,101794,17,7,6,50,210.346,18,98061.70689655172,90759,10,5,10,53,198.117,5,177165.5,100722,207
169,16,15,0,48,194.337,16,104252.53571428572,100977,9,22,0,,,9,,,16,9,2,51,195.304,16,177494.7142857143,102173,93
177,24,16,0,48,196.198,18,104262.23214285713,100019,11,11,0,52,211.476,11,98093.3275862069,90274,18,8,4,55,195.785,18,177478.5178571429,101922,
178,17,17,0,40,193.811,17,104465.80357142855,101251,10,9,2,53,210.733,10,98088.29310344828,90592,15,12,0,54,196.104,15,178011.42857142858,101756,10
179,19,18,0,38,191.664,20,105282.8,102385,19,19,0,27,204.806,20,96438.61764705883,93214,19,16,0,52,192.775,20,180094,103513,0
180,20,19,0,41,190.987,21,106184.61818181818,102748,20,14,0,43,202.548,21,99909.19298245614,94253,20,17,0,50,190.486,21,180869.72727272726,104757,0
181,21,20,0,39,191.224,22,106191.85454545454,102621,21,15,0,45,200.932,22,102463.90566037736,95011,21,20,0,50,190.384,22,183276.59259259253,104813,0
182,22,21,0,54,189.398,23,106967.6909090909,103610,0,23,0,,,23,,,22,22,0,54,187.82,23,184868.3148148148,106244,0
183,23,22,0,40,188.806,24,108060.74074074074,103935,0,24,0,,,24,,,23,21,0,52,188.414,24,184623.6851851852,105909,0
184,18,23,0,53,193.928,19,110538.58490566038,101190,18,18,0,26,203.759,19,100754.65789473684,93693,24,18,0,54,192.237,19,180942.07272727272,103803,0
185,2,24,0,9,188.49,3,104794.75,104109,4,20,0,4,203.048,4,95217,94021,3,10,1,53,196.096,3,177532.2857142857,101760,49
186,3,1,25,46,197.21,3,103338.30357142855,99506,5,2,18,53,213.162,5,93373.72413793103,89560,3,22,0,,,3,125239,125239,242
187,2,2,18,51,196.324,2,103519.875,99955,7,1,25,56,213.845,7,93159.05172413793,89274,10,7,6,37,196.079,7,106877.85714285713,101769,183
188,1,3,15,50,196.273,1,103558.33928571428,99981,3,5,10,45,212.689,3,93944.58620689657,89759,4,3,15,32,197.57,4,106229.67857142855,101001,189
